Timestamp,deposition rate (A/sec),power (%),pressure (mTorr),temperature (C),crystal (kA),anode current (amp),neutralization current (amp),gas flow (sccm)
2025-06-02 15:42:54,2.548214500929654,3.2748345464270767,1.1879672036131863,24.5234375,1.1874879822120645,1.1876870617493465,1.1872436031393532,1.1874724850025755
2025-06-02 15:42:55,2.434554986304639,3.2747886508451285,1.1881591305922425,24.484375,1.1877579912850846,1.187955878729329,1.1875231489566742,1.187607787562345
2025-06-02 15:42:56,2.4202063584573694,3.2745001643300253,1.188126944080227,24.5078125,1.1878462061698682,1.188017867567285,1.1875934824458936,1.1878634915189137
2025-06-02 15:42:57,2.4742355912012566,3.275184425733617,1.188110850824219,24.5234375,1.1876548752373308,1.1879677996597051,1.1875815615155174,1.1878110394252586
2025-06-02 15:42:58,2.7357921285381472,3.2754067510851326,1.1883206591988396,24.484375,1.1880405173349997,1.1883403287339602,1.1878181919834843,1.1880071387299465
2025-06-02 15:42:59,3.0043933396808313,3.2747230857280596,1.1887748466461714,24.46875,1.1883993373393222,1.1887843833904723,1.1882437691979133,1.1884982810614444
2025-06-02 15:43:00,3.0016360284848247,3.271375092431914,1.1887891517626228,24.5078125,1.1884100661766608,1.1886204705978,1.1881114468707379,1.1882544980352518
2025-06-02 15:43:01,2.7954098934423794,3.274262341769021,1.1886776910636057,24.6171875,1.188496492921888,1.1886663661797483,1.188024424078992,1.188176415941288
2025-06-02 15:43:02,2.7112737549869723,3.2733313171066425,1.1884070859440667,24.578125,1.1881752238482504,1.188098929893843,1.1880929694286548,1.1880494580327818
2025-06-02 15:43:03,2.6446280055794724,3.2746527522388402,1.1879075989613055,24.5703125,1.1876411661673982,1.1882300601279807,1.188117407335926,1.1882419810583569
2025-06-02 15:43:04,2.7007559181160827,3.274973425265959,1.188315890826689,24.59375,1.1879022345426362,1.1886383519933643,1.1882306561744995,1.1883963571067282
2025-06-02 15:43:05,2.793801163888116,3.275143894570338,1.1885543094342124,24.6171875,1.1883117185010574,1.1886294112955822,1.188067935474865,1.1883182750127643
2025-06-02 15:43:06,2.804585433552913,3.2747612327052633,1.1886002050161606,24.578125,1.1882777438494854,1.1885632501319945,1.1880852208239103,1.1882932410589744
2025-06-02 15:43:07,2.9949591153811355,3.27498296201026,1.188928626648024,24.546875,1.1883653626877502,1.1887963043208485,1.1881627068713554,1.1882854924542299
2025-06-02 15:43:08,2.994839310030855,3.2744930117717996,1.188701532924358,24.6171875,1.1883993373393222,1.1879666075666675,1.188104890359031,1.1881430373362347
2025-06-02 15:43:09,2.9934946290844238,3.2744304268873248,1.1885006652475196,24.5546875,1.1879540905897725,1.1881883368716641,1.1880202517533602,1.1877806410527993
2025-06-02 15:43:10,2.99409663606842,3.274535927121154,1.1886204705978,24.65625,1.1881376729175654,1.1880607829166392,1.187607787562345,1.1876870617493465
2025-06-02 15:43:11,2.993002890706407,3.2738963692064726,1.1885018573405572,24.640625,1.1880130991951345,1.1881352887314902,1.1877150759357304,1.1876566633768872
2025-06-02 15:43:12,2.9912302483594715,3.274044188743137,1.188216947104567,24.640625,1.1878766045423275,1.1879606471014794,1.187554739422171,1.1875386461661632
2025-06-02 15:43:13,2.992636918143859,3.2741431324652592,1.1885656343180697,24.5703125,1.1880882010565044,1.1881025061729558,1.187312744535535,1.187436722211447
2025-06-02 15:43:14,2.9921004762769314,3.2739625303700604,1.1884070859440667,24.5234375,1.187896870123967,1.1875213608171178,1.1869658454615886,1.187374733373491
2025-06-02 15:43:15,2.992284654651243,3.274405392933535,1.1879630312875546,24.546875,1.1873538717453327,1.187244199185872,1.1864037735943525,1.187203668022593
2025-06-02 15:43:16,2.990787981842516,3.2713774766179893,1.188017867567285,24.59375,1.1875058636076288,1.1873240694193923,1.1865706666196187,1.1870653852302295
2025-06-02 15:43:17,2.990365384860681,3.271403702664817,1.18780031058792,24.59375,1.187334202210212,1.1872728094187748,1.1865849717360701,1.1868549808090902
2025-06-02 15:43:18,2.989994643925982,3.2741633980468987,1.1875469908174265,24.484375,1.1868442519717517,1.1869002803445197,1.1862362845225674,1.1865951045268899
2025-06-02 15:43:19,2.991392969059106,3.274075779208634,1.1871965154643673,24.6328125,1.1865569575496862,1.1866922601094556,1.1861456854517085,1.186501525223437
2025-06-02 15:43:20,2.994870900496352,3.274653348285359,1.1874653324443498,24.4921875,1.1870963796492076,1.1872328743020146,1.186722062435396,1.1867184861562832
2025-06-02 15:43:21,2.992825864890321,3.2740084259520086,1.18786527965847,24.6171875,1.1875249370962306,1.1876101717484202,1.1870182975552437,1.1870153173226496
2025-06-02 15:43:22,2.9916123141780275,3.2743255227000145,1.1878271326812664,24.65625,1.1873461231405882,1.1874826177933953,1.1869235261587532,1.1869282945309036
2025-06-02 15:43:23,2.993058919079175,3.274370226188925,1.1876095757019014,24.5078125,1.1872859224421886,1.187144659417231,1.186598084759484,1.186601064992078
2025-06-02 15:43:24,2.993440984897731,3.2748726934042804,1.187679313144602,24.5546875,1.1871923431387357,1.187253139883654,1.1866731866208537,1.1866678222021845
2025-06-02 15:43:25,2.9932401172208927,3.274156245488673,1.187983892915713,24.5078125,1.187557719654765,1.187498711049403,1.1869205459261591,1.1868812068559178
2025-06-02 15:43:26,2.9931066028006796,3.2746056645638544,1.1874820217468764,24.5078125,1.1875100359332604,1.1874575838396053,1.186902664530595,1.1870397552299208
2025-06-02 15:43:27,2.9853144866603003,3.2722709503496827,1.1868198140644806,24.5703125,1.1868579610416843,1.1869306787169789,1.1864228470829543,1.1863501294076597
